"","PARK","BOROUGH","SIZE","CATEGORY","MURDER","RAPE","ROBBERY","FELONY_ASSAULT","BURGLARY","GRAND_LARCENY","GRAND_LARCENY__MOTOR","TOTAL","Year","Quarter"
"7321","BATH BEACH PARK","BROOKLYN     ",2.96,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7322","GLEN OAKS OVAL","QUEENS       ",2.95,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7323","MERRIAM PLAYGROUND","BRONX        ",2.94,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7324","POSEIDON PLAYGROUND","BROOKLYN     ",2.94,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7325","ROBERT E. VENABLE PARK","BROOKLYN     ",2.94,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7326","LEFFERTS PLAYGROUND","QUEENS       ",2.94,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7327","WALT WHITMAN PARK","BROOKLYN     ",2.91,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7328","WESTERLEIGH PARK","STATEN ISLAND",2.89,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7329","PETERS FIELD","QUEENS       ",2.87,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7330","DELPHIN H. GREENE PLAYGROUND","QUEENS       ",2.86,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7331","HOFFMAN PARK","QUEENS       ",2.86,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7332","MARKHAM PLAYGROUND","STATEN ISLAND",2.84,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7333","SPERANDEO BROTHERS PLAYGROUND","BROOKLYN     ",2.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7334","BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE","BROOKLYN     ",2.78,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7335","IRVING SQUARE PARK","BROOKLYN     ",2.76,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7336","ST. VARTAN PARK","MANHATTAN    ",2.76,"ONE ACRE OR LARGER",0,0,0,0,0,2,0,2,2016,"Q3"
"7337","RAVENSWOOD PLAYGROUND","QUEENS       ",2.76,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7338","GORMAN PLAYGROUND","QUEENS       ",2.76,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7339","LOUIS CUVILLIER PARK","MANHATTAN    ",2.75,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7340","GRACE PLAYGROUND","BROOKLYN     ",2.74,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7341","GREEN CENTRAL KNOLL","BROOKLYN     ",2.74,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7342","DETECTIVE WILLIAM T. GUNN PARK","QUEENS       ",2.72,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7343","HOLY COW PLAYGROUND","QUEENS       ",2.7,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7344","BAYSIDE FIELDS","QUEENS       ",2.69,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7345","HICKMAN PLAYGROUND","BROOKLYN     ",2.66,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7346","ARBUTUS WOODS PARK","STATEN ISLAND",2.65,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7347","STARS & STRIPES PLAYGROUND","BRONX        ",2.65,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2016,"Q3"
"7348","P.O. SERRANO PLAYGROUND","BRONX        ",2.62,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7349","COLEMAN PLAYGROUND","MANHATTAN    ",2.61,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7350","MARGARET I. CARMAN GREEN - WEEPING BEECH","QUEENS       ",2.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7351","KATHY REILLY TRIANGLE","BROOKLYN     ",2.59,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7352","RIVERDALE PLAYGROUND","BRONX        ",2.58,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7353","MARIE CURIE PARK","QUEENS       ",2.55,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7354","EDENWALD PLAYGROUND","BRONX        ",2.54,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7355","THOMAS GREENE PLAYGROUND","BROOKLYN     ",2.53,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7356","MURRAY PLAYGROUND","QUEENS       ",2.52,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7357","BATHGATE PLAYGROUND","BRONX        ",2.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7358","BIG BUSH PARK","QUEENS       ",2.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7359","JOSEPH RODMAN DRAKE PARK","BRONX        ",2.49,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7360","INDEPENCE PARK SYLVAN GROVE CEMETERY","STATEN ISLAND",2.48,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7361","ALLEY PARK","QUEENS       ",2.45,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7362","FREDERICK JOHNSON PLAYGROUND","MANHATTAN    ",2.45,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7363","DAMROSCH PARK","MANHATTAN    ",2.44,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7364","ASSER LEVY PLAYGROUND","MANHATTAN    ",2.44,"ONE ACRE OR LARGER",0,0,1,0,0,1,0,2,2016,"Q3"
"7365","HARRY MAZE PLAYGROUND","BROOKLYN     ",2.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7366","LOST BATTALION HALL RECREATION CENTER","QUEENS       ",2.41,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7367","DUTCH KILLS PLAYGROUND","QUEENS       ",2.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7368","KOSCIUSZKO POOL","BROOKLYN     ",2.39,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7369","WEST PLAYGROUND","BROOKLYN     ",2.39,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
